subject,body,to_email
Valid email,this is a test.,emailgarrett93@gmail.com
Missing email, This a Test,
invalid email, This is test.,invalidemailgmail.com
,missing,
,,usaer@.com
*,*,emailgarrett93@gmail.com
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,testtesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttesttest,emailgarrett93@gmail.com
test,test,grrttshae1@gamil.com
test,test,grrttshae1@gamil.com
test,test,grrttshae1@gamil.com
test,test,grrttshae1@gamil.com
test,test,grrttshae1@gamil.com
